Unnamed: 0,country,date_parsed,month,name_of_holiday,date_of_holiday,independence_from,aggregate_colonisers,season
116.0,Lithuania,1990-03-11,Mar,Independence Restoration Day,March 11,Soviet Union,Soviet Union,Spring
117.0,Luxembourg,1961-06-23,Jun,National Day,June 23,None,None,Summer
118.0,Madagascar,1960-06-26,Jun,National Day,June 26,France,France,Summer
119.0,Malawi,1964-07-06,Jul,Malawi Day,July 6,United Kingdom,United Kingdom,Summer
120.0,Malaysia,1957-08-31,Aug,Hari Merdeka,August 31,United Kingdom,United Kingdom,Summer
121.0,Maldives,1965-07-26,Jul,National Day,July 26,United Kingdom,United Kingdom,Summer
122.0,Mali,1960-09-22,Sep,Republic Day,September 22,France,France,Autumn
123.0,Malta,1964-09-21,Sep,Independence Day,September 21,United Kingdom,United Kingdom,Autumn
124.0,Marshall Islands,1979-05-1,May,Constitution Day,May 1,United States,United States,Spring
125.0,Mauritania,1960-11-28,Nov,Independence Day,November 28,France,France,Autumn
126.0,Mauritius,1968-03-12,Mar,Mauritius Day,March 12,United Kingdom,United Kingdom,Spring
127.0,Mexico,1810-09-16,Sep,Día de la Independéncia,September 16,Spain,Spain,Autumn
128.0,Micronesia,1986-11-03,Nov,Independence Day,November 3,United States,United States,Autumn
129.0,Moldova,1991-08-27,Aug,Independence Day,August 27,Soviet Union,Soviet Union,Summer
130.0,Monaco,1979-11-19,Nov,National Day,November 19,None,None,Autumn
131.0,Mongolia,1911-12-29,Dec,Independence Day,December 29,China,Other,Winter
132.0,Montenegro,2006-05-21,May,Independence Day,May 21,Serbia,Other,Spring
133.0,Morocco,1944-01-11,Jan,Proclamation of Independence Day,January 11,Spain,Spain,Winter
134.0,Morocco,1955-11-18,Nov,Independence Day,November 18,Spain,Spain,Autumn
135.0,Mozambique,1975-06-25,Jun,Dia da Independência Nacional,June 25,Portugal,Portugal,Summer
136.0,Myanmar,1948-01-04,Jan,Independence Day,January 4,United Kingdom,United Kingdom,Winter
137.0,Namibia,1990-03-21,Mar,Independence Day,March 21,South Africa,Other,Spring
138.0,Nauru,1968-01-31,Jan,Independence Day,January 31,Australia,Other,Winter
139.0,Nepal,2008-05-28,May,Republic Day,May 28,None,None,Spring
140.0,Netherlands,1581-07-26,Jul,King's Day,July 26,Spain,Spain,Summer
141.0,New Zealand,1974-02-6,Feb,Waitangi Day,February 6,None,None,Winter
142.0,Nicaragua,1821-09-15,Sep,Independence Day,September 15,Spain,Spain,Autumn
143.0,Niger,1960-08-03,Aug,Independence Day,August 3,France,France,Summer
144.0,Nigeria,1960-10-01,Oct,Independence Day,October 1,United Kingdom,United Kingdom,Autumn
145.0,North Macedonia,1991-09-08,Sep,Independence Day,September 8,Yugoslavia,Other,Autumn
146.0,Norway,1814-05-17,May,Constitution Day,May 17,Denmark,Other,Spring
147.0,Norway,1905-06-07,Jun,Independence Day,June 7,Sweden,Other,Summer
148.0,Oman,1650-11-18,Nov,National Day,November 18,Portugal,Portugal,Autumn
149.0,Pakistan,1947-08-14,Aug,Youm-e-Azadi,August 14,United Kingdom,United Kingdom,Summer
150.0,Palau,1994-10-1,Oct,Independence Day,October 1,United States,United States,Autumn
151.0,West Bank,1988-11-15,Nov,National Day,November 15,Israel,Other,Autumn
152.0,Panama,1821-11-28,Nov,National Day,November 28,Spain,Spain,Autumn
153.0,Panama,1903-11-03,Nov,National Day,November 3,Colombia,Other,Autumn
154.0,Papua New Guinea,1975-09-16,Sep,Independence Day,September 16,Australia,Other,Autumn
155.0,Paraguay,1811-05-14,May,Independence Day,May 14,Spain,Spain,Spring
156.0,Peru,1821-07-28,Jul,Fiestas Patrias,July 28,Spain,Spain,Summer
157.0,Philippines,1898-06-12,Jun,Independence Day,June 12,Spain,Spain,Summer
158.0,Poland,1918-11-11,Nov,Independence Day,November 11,Soviet Union,Soviet Union,Autumn
159.0,Portugal,1640-12-01,Dec,Restoration of Independence Day,December 1,Spain,Spain,Winter
160.0,Qatar,1878-12-18,Dec,National Day,December 18,Ottoman Empire,Ottoman Empire,Winter
161.0,Qatar,1971-12-18,Dec,Independence from Britain,December 18,United Kingdom,United Kingdom,Winter
162.0,Romania,1877-05-09,May,State Independence Day,May 9,Ottoman Empire,Ottoman Empire,Spring
163.0,Russia,1992-06-12,Jun,National Day,June 12,None,None,Summer
164.0,Rwanda,1962-07-01,Jul,Independence Day,July 1,Belgium,Other,Summer
165.0,Saint Kitts and Nevis,1983-09-19,Sep,Independence Day,September 19,United Kingdom,United Kingdom,Autumn
166.0,Saint Lucia,1979-02-22,Feb,Independence Day,February 22,United Kingdom,United Kingdom,Winter
167.0,Saint Vincent and the Grenadines,1979-10-27,Oct,Independence Day,October 27,United Kingdom,United Kingdom,Autumn
168.0,Samoa,1962-06-01,Jun,Independence Day,June 1,New Zealand,Other,Summer
169.0,San Marino,1992-09-3,Sep,Foundation Day,September 3,None,None,Autumn
170.0,Sao Tome and Principe,1975-07-12,Jul,Independence Day,July 12,Portugal,Portugal,Summer
171.0,Saudi Arabia,1932-09-23,Sep,National Day,September 23,None,None,Autumn
172.0,Senegal,1960-04-04,Apr,Independence Day,April 4,France,France,Spring
173.0,Serbia,1804-02-15,Feb,Statehood Day,February 15,Ottoman Empire,Ottoman Empire,Winter
174.0,Seychelles,1976-06-29,Jun,National Day,June 29,United Kingdom,United Kingdom,Summer
175.0,Sierra Leone,1961-04-27,Apr,Independence Day,April 27,United Kingdom,United Kingdom,Spring
176.0,Singapore,1965-08-09,Aug,National Day,August 9,Malaysia,Other,Summer
